permit_date,permit_type,city,county,construction_cost,sqft,pitch_angle
2026-01-30,Alteration,Brielle,MONMOUTH,366000,1036,"Targeted mortgage protection and whole life insurance from New York Life can provide financial security for your family if the unthinkable happens, ensuring your home is protected and your loved ones "
2026-01-29,New,Wall Twp,MONMOUTH,346340,4454,"With a new $346,340 home renovation, mortgage protection and whole life insurance from New York Life can secure your financial future. Protect what you've built."
2026-01-29,Demolition,Oceanport,MONMOUTH,300001,0,"Targeted mortgage protection and comprehensive life insurance from NYL can safeguard your family's future if the unthinkable happens. Plus, a Whole Life policy offers growth potential and liquidity. L"
2026-01-30,Demolition,Oceanport,MONMOUTH,300000,0,"Targeted mortgage protection and whole life insurance from New York Life can secure your family's financial future after a tragedy, while also providing cash value growth. Protect your home and loved "
2026-01-29,Demolition,Oceanport,MONMOUTH,300000,0,Targeted mortgage protection and comprehensive life insurance from New York Life can secure your family's future if the unexpected happens. Pair that with a Whole Life policy for lasting wealth accumu
2026-01-30,Demolition,Oceanport,MONMOUTH,300000,0,"Oceanport homeowner: With a recent $300K demolition permit, protecting your mortgage and family with New York Life's term, whole life, or VUL options makes sense. Let's review how we can secure your f"
2026-01-30,Demolition,Oceanport,MONMOUTH,300000,0,Targeted mortgage protection and whole life insurance to secure your home's future value post-demolition. Protect what you've built with New York Life.
2026-01-29,Demolition,Oceanport,MONMOUTH,300000,0,"With a $300,000 demolition project underway, consider mortgage protection and term life insurance to secure your family's financial future. Whole life can also build cash value over time. Let's discus"
2026-01-30,Demolition,Oceanport,MONMOUTH,300000,0,"Targeted mortgage protection and whole life insurance can secure your family's future if the unexpected happens. With a $300,000 home in Oceanport NJ, New York Life's solutions ensure your mortgage is"
2026-01-30,Demolition,Oceanport,MONMOUTH,300000,0,"Targeted demolition project? Consider protecting your family with a term life policy for mortgage coverage, a whole life policy for long-term financial security, and a Whole Life Cash Value policy fro"
2026-01-30,Demolition,Oceanport,MONMOUTH,300000,0,"Oceanport homeowner, protecting your family after a house is just as important as building it. Consider mortgage protection and whole life insurance from New York Life to secure your financial future."
2026-01-30,Demolition,Oceanport,MONMOUTH,300000,0,New homeowner in Oceanport NJ? Protect your mortgage with our mortgage protection plan and consider whole life insurance for long-term financial security. Let's discuss how we can help today.
2026-01-30,Demolition,Oceanport,MONMOUTH,300000,0,"With a $300,000 demolition project underway, consider mortgage protection and whole life insurance to secure your family's financial future if the unexpected happens. Let’s review options today."
2026-01-30,Demolition,Oceanport,MONMOUTH,300000,0,"Oceanport homeowner, securing a $300K demolition permit means your family's financial future should be just as robust. Consider adding mortgage protection and whole life insurance from New York Life t"
2026-01-30,New,Holmdel,MONMOUTH,280100,816,"Targeted mortgage protection and life insurance for your new home in Holmdel NJ, plus growth with our whole life options, starting at just $280,100. Let's discuss how to secure your future and protect"
2026-01-30,New,Manalapan,MONMOUTH,235000,3887,"With a new home renovation project underway, consider adding mortgage protection and life insurance to your financial safety net, and explore how whole life insurance can grow alongside your assets. C"
2026-01-30,Alteration,Manalapan,MONMOUTH,200000,0,"With a recent home improvement project valued at $200,000, mortgage protection and comprehensive life insurance from New York Life can help protect your investment. Whole life insurance offers permane"
2026-01-30,Alteration,Manalapan,MONMOUTH,200000,0,"With a new home renovation underway, consider mortgage protection and term/whole life insurance from New York Life to secure your financial future. Protection for your home and peace of mind are just "
2026-01-30,Alteration,Manalapan,MONMOUTH,200000,0,"With a recent $200,000 home improvement project, consider mortgage protection and whole life insurance from New York Life to secure your investment and protect your family's future."
2026-01-29,Alteration,Little Silver,MONMOUTH,165500,0,"With a recent home improvement project and a $165,500 alteration permit, you've increased your asset value. Protect what you've built with our mortgage protection, life insurance, and whole life solut"
2026-01-30,Addition,Manasquan,MONMOUTH,164500,410,"With a recent addition to your home valued at $164,500, mortgage protection and comprehensive life insurance from New York Life can help protect your family's future. Whole life insurance offers both "
2026-01-29,Alteration,Manalapan,MONMOUTH,153000,0,"Given your recent home improvement project and the value added to your property with the $153,000 alteration, consider adding mortgage protection and comprehensive life insurance alongside a Whole Lif"
2026-01-30,Alteration,Manalapan,MONMOUTH,150000,0,"Given your recent home improvements and the value of your property ($150,000 alteration), we recommend protecting what you've invested with mortgage protection and a whole life policy from New York Li"
2026-01-30,Alteration,Manalapan,MONMOUTH,150000,0,"With a recent home improvement project, consider mortgage protection and term/life insurance to cover your mortgage if the unexpected happens. Whole life insurance can also provide cash value growth a"
2026-01-30,Alteration,Holmdel,MONMOUTH,121400,0,"Holmdel homeowner, given your recent home improvement project costing $121,400, consider protecting it with mortgage life insurance and a whole life policy from New York Life for peace of mind and lon"
2026-01-30,Alteration,Marlboro,MONMOUTH,92900,0,"Marlboro homeowner, protecting your home and family with mortgage protection and whole life insurance from New York Life ensures you're covered for unexpected events. Let's discuss how our solutions c"
2026-01-29,Alteration,Howell,MONMOUTH,90500,0,"Targeted mortgage protection and life insurance from New York Life can provide financial peace of mind for your new home in Howell NJ, while whole life insurance offers long-term value with potential "
2026-01-30,Alteration,Manalapan,MONMOUTH,88000,0,"Given your recent home improvements and the value added to your property with the $88,000 alteration, consider adding mortgage protection and whole life insurance from New York Life to safeguard your "
2026-01-30,Alteration,Toms River,OCEAN,1720907,0,"Targeted mortgage protection and whole life insurance can safeguard your family's financial future if the unexpected happens, while also offering long-term wealth accumulation. Protect your home in To"
2026-02-02,New,Mantoloking,OCEAN,1399000,216,Targeted mortgage protection and comprehensive life insurance from NYL can safeguard your family's future. Consider our term life for immediate coverage or Whole Life for growing wealth—both tailored 
2026-01-30,New,Stafford,OCEAN,962220,3649,"Targeted mortgage protection and comprehensive life insurance can safeguard your family's financial future. With a $962,220 home improvement project in Stafford NJ, consider Whole Life Insurance from "
2026-01-30,Alteration,Jackson,OCEAN,630000,0,"With a recent $630,000 home improvement project, mortgage protection and life insurance can safeguard your family's financial future. Whole life from New York Life offers cash value growth while provi"
2026-01-29,Alteration,Jackson,OCEAN,515000,0,"Jackson homeowner: Protect your family with mortgage protection and life insurance from NYL, ensuring they're covered if the unexpected happens. Consider our whole life policy for long-term security a"
2026-01-29,Addition,Lakewood,OCEAN,502000,46407,"With a new addition on the horizon, consider mortgage protection and term/whole life insurance to secure your financial future. Protect your family and home with New York Life's comprehensive solution"
2026-02-02,Alteration,Mantoloking,OCEAN,475000,0,"Mantoloking homeowner, protecting your home and family with $475,000 mortgage protection, term life, and whole life solutions from New York Life."
2026-01-29,New,Barnegat,OCEAN,408181,3619,"Targeted mortgage protection and whole life insurance from NYL can secure your family's future if the unthinkable happens, while also providing a potential cash value option. Protect your home with us"
2026-01-29,New,Barnegat,OCEAN,408181,3665,Targeted home improvement project? Protect your progress with New York Life's mortgage protection and term life insurance. Consider whole life for long-term financial security. Let's discuss how these
2026-01-30,New,Toms River,OCEAN,402000,2591,"New homeowner in Toms River NJ, protecting your home with $402,000 mortgage and comprehensive life insurance & whole life options from New York Life. Schedule a call to review plans."
2026-01-30,New,Toms River,OCEAN,402000,2591,"Targeted mortgage protection and life insurance from NYL can shield your family if the worst happens. Whole life insurance builds cash value over time, securing your future. Let's discuss how to prote"
2026-01-30,New,Toms River,OCEAN,402000,2591,"New homeowner in Toms River NJ, consider protecting your new home with mortgage protection and life insurance from NYL, plus build long-term wealth with our whole life options."
2026-01-30,New,Eagleswood,OCEAN,214000,4280,"New homeowner in Eagleswood NJ, consider adding mortgage protection and whole life insurance to secure your financial future with New York Life. Protect your family from unexpected expenses."
2026-01-29,New,Toms River,OCEAN,185550,1120,"New homeowner in Toms River NJ, consider adding mortgage protection and life insurance to your financial portfolio. Whole life insurance from NYL can also build cash value while providing long-term co"
2026-01-29,Alteration,Jackson,OCEAN,172000,0,"Consider protecting your home and family with mortgage protection, life insurance from New York Life, and building equity with our whole life policy."
2026-02-04,New,Beachwood,OCEAN,157000,1652,"Targeted mortgage protection and life insurance, plus growing your wealth with whole life from NYL can secure your family's future post-permit. Call for a free consult."
2026-01-30,New,Lakewood,OCEAN,140100,1,"New homeowner in Lakewood NJ, coverage for your new home starts here with mortgage protection and term life insurance. Protect what you've built with a whole life policy that grows alongside your inve"
2026-01-29,New,Lakewood,OCEAN,131000,1,"Lakewood homeowner, securing your family's future with a mortgage protection policy and whole life insurance from New York Life ensures you have the financial safety net you need. Protect what matters"
2026-01-29,Alteration,Lakewood,OCEAN,125000,0,"Based on your home improvement plans and the $125,000 alteration permit, consider adding mortgage protection and term life insurance to cover your home loan, along with a Whole Life policy for long-te"
2026-01-29,Addition,Toms River,OCEAN,121100,50,"Targeted mortgage and life insurance protection up to $363,300 term plus estate planning with Whole Life from NYL can secure your family's future after a tragedy in Toms River NJ."
2026-01-30,Alteration,Jackson,OCEAN,103120,0,Protect your family's financial future with mortgage protection and whole life insurance from New York Life. Ensure they're covered if the worst happens while you have a significant home equity of $10
2026-01-29,Alteration,Mantoloking,OCEAN,98850,0,"Given your recent home purchase and the $98,850 alteration permit, consider mortgage protection and life insurance to safeguard your home investment, along with whole life options for long-term financ"
2026-01-29,Addition,Brick,OCEAN,96875,266,"Targeted mortgage protection and whole life insurance from NYL can secure your family's future. With a $96,875 addition underway in Brick NJ, ensure your loved ones are protected if the unexpected hap"
2026-01-29,Addition,Lakewood,OCEAN,85000,1559,New construction suggests potential for increased income or home value. Protect your family with Mortgage Protection and Life Insurance from New York Life. Consider Whole Life for long-term financial 
2026-01-30,Alteration,Jackson,OCEAN,80000,0,"Targeted mortgage and life insurance protection with up to $250,000 of term and $500,000 in whole life from NYL can secure your family's future if the unexpected happens while you're paying off that n"
2026-01-30,New,Woodbridge,MIDDLESEX,15608480,178560,"Targeted mortgage protection and whole life insurance can safeguard your family's future if the unthinkable happens. Protect your home with our $15,608,480 term policy and consider whole life for long"
2026-02-06,Alteration,Edison,MIDDLESEX,601249,0,"Given your recent home improvement project, consider protecting your investment with Mortgage Protection Insurance from New York Life, ensuring your family's financial security if the unexpected happe"
2026-01-29,Alteration,Edison,MIDDLESEX,533560,0,"Targeted mortgage protection with term life and whole life options can safeguard your family's financial future if the unthinkable happens. Consider adding a policy to match your $533,560 home value f"
2026-01-29,Addition,Woodbridge,MIDDLESEX,496500,2317,"With a recent home improvement project valued at $496,500, mortgage protection and comprehensive life insurance can help secure your family's financial future. Whole life insurance from New York Life "
2026-02-06,New,Edison,MIDDLESEX,492000,3745,"New homeowner in Edison NJ, given your recent $492,000 home improvement project, consider protecting this significant investment with a mortgage protection policy and a whole life insurance plan from "
2026-01-30,New,Edison,MIDDLESEX,436000,5166,"Explore how a mortgage protection term life insurance policy and a whole life policy could provide financial security for your home in Edison NJ with a $436,000 outstanding balance."
2026-02-04,Alteration,Edison,MIDDLESEX,372750,0,"Based on your recent home improvement project, consider adding mortgage protection and whole life insurance from New York Life to secure your family's future and protect your investment in your Edison"
2026-02-04,Addition,Metuchen,MIDDLESEX,352600,331,Targeted mortgage and life insurance solutions can protect your family's financial future while the home improvement project grows your net worth. Whole life insurance from NYL offers permanent covera
2026-01-29,Addition,Edison,MIDDLESEX,191000,2948,Congratulations on your home improvements! Protect what you've built with mortgage protection and life insurance from New York Life. Consider our Whole Life policy for long-term financial security.
2026-01-30,Alteration,Old Bridge,MIDDLESEX,180000,0,"Given your recent home improvements and the value of your property, consider protecting it with mortgage protection, life insurance, and a Whole Life policy from New York Life to ensure your family's "
2026-01-29,Alteration,South Brunswick,MIDDLESEX,178500,0,"Identify your home's value and get mortgage protection with our term life insurance. Secure your family's financial future with whole life from New York Life, ensuring long-term coverage and potential"
2026-02-05,Addition,Edison,MIDDLESEX,169000,717,"Given your recent addition to the house valued at $169,000, consider adding mortgage protection and whole life insurance from New York Life to secure your family's financial future in Edison NJ."
2026-01-30,Alteration,Metuchen,MIDDLESEX,167000,0,"Given your recent home improvement project and the value added to your property with the $167,000 alteration, consider protecting it with mortgage life insurance from New York Life, complemented by a "
2026-02-06,Alteration,Edison,MIDDLESEX,162750,0,"Given your recent home improvements and mortgage, consider protecting your family with a $300,000 term life policy, a mortgage payment rider on your whole life policy, or a $250,000 permanent life sol"
2026-02-03,Addition,Edison,MIDDLESEX,95700,0,"Tap into mortgage protection and comprehensive life insurance to secure your family's future. A whole life policy can also grow with their needs, providing a cash value component. Protection for you a"
